"STATEFP","COUNTYFP","COUNTYNS","AFFGEOID","GEOID","NAME","LSAD","ALAND","AWATER","station_id"
"48","081","01383826","0500000US48081","48081","Coke","06",2361153195,42331832,"99999903072"
"48","273","01383922","0500000US48273","48273","Kleberg","06",2282572445,541041659,"72251612928"
"48","203","01383887","0500000US48203","48203","Harrison","06",2331138836,40651525,"72094300431"
"48","223","01383897","0500000US48223","48223","Hopkins","06",1987629163,65639829,"72236299999"
"48","033","01383802","0500000US48033","48033","Borden","06",2324366073,22297606,"72212299999"
"48","419","01383995","0500000US48419","48419","Shelby","06",2060566172,101081674,"72080699999"
"48","067","01383819","0500000US48067","48067","Cass","06",2426730190,60494083,"72341813977"
"48","025","01383798","0500000US48025","48025","Bee","06",2279809490,246409,"72039100127"
"51","167","01497573","0500000US51167","51167","Russell","06",1226420311,7550968,"72405853818"
"51","187","01674058","0500000US51187","51187","Warren","06",555641045,8578483,"99999913731"
"51","165","01488970","0500000US51165","51165","Rockingham","06",2200943610,10647709,"72410599999"
"51","195","01496656","0500000US51195","51195","Wise","06",1044903124,5257728,"72411799999"
"51","083","01496705","0500000US51083","51083","Halifax","06",2117913131,30524580,"72307899999"
"51","053","01690739","0500000US51053","51053","Dinwiddie","06",1305053884,8992266,"72401493714"
"51","117","01500747","0500000US51117","51117","Mecklenburg","06",1619544361,139655805,"72307899999"
"51","031","01674917","0500000US51031","51031","Campbell","06",1303300941,8894442,"99999913733"
"51","007","01497770","0500000US51007","51007","Amelia","06",920379346,8188217,"72401513726"
"51","036","01480109","0500000US51036","51036","Charles City","06",473711563,55274680,"99999913740"
"51","017","01673638","0500000US51017","51017","Bath","06",1370626056,14039993,"72411593757"
"51","127","01480150","0500000US51127","51127","New Kent","06",543990076,35597682,"72028599999"
"51","181","01480174","0500000US51181","51181","Surry","06",722475750,81216905,"72401999999"
"51","790","01789075","0500000US51790","51790","Staunton","25",51593819,147694,"72410599999"
"31","185","00835914","0500000US31185","31185","York","06",1482794061,8595052,"72551214989"
"12","075","00295724","0500000US12075","12075","Levy","06",2896183010,762935040,"74905399999"
"31","183","00835913","0500000US31183","31183","Wheeler","06",1489717866,1059454,"72344154921"
"05","119","00069177","0500000US05119","05119","Pulaski","06",1964339922,126230012,"72340313963"
"05","075","00066865","0500000US05075","05075","Lawrence","06",1521913730,12286149,"72340699999"
"05","093","00069899","0500000US05093","05093","Mississippi","06",2332481583,49826387,"72340813814"
"05","001","00063755","0500000US05001","05001","Arkansas","06",2561013146,116378934,"72341699999"
"05","081","00066874","0500000US05081","05081","Little River","06",1378511385,84225310,"72341813977"
"05","121","00069178","0500000US05121","05121","Randolph","06",1689251373,9889900,"72340699999"
"05","067","00066861","0500000US05067","05067","Jackson","06",1641629489,19623387,"99999993907"
"05","103","00069170","0500000US05103","05103","Ouachita","06",1897898727,18050436,"72342500373"
"05","107","00069172","0500000US05107","05107","Phillips","06",1801669169,82139041,"72092700314"
"05","003","00063756","0500000US05003","05003","Ashley","06",2396668938,39291076,"72342499999"
"22","055","00558059","0500000US22055","22055","Lafayette","15",696088606,1149882,"99999913976"
"22","069","00558108","0500000US22069","22069","Natchitoches","15",3243376637,120998331,"72231999999"
"22","097","01629479","0500000US22097","22097","St. Landry","15",2392922808,39029116,"72046800466"
"22","099","01629486","0500000US22099","22099","St. Martin","15",1909395777,205311872,"74799499999"
"22","105","00559500","0500000US22105","22105","Tangipahoa","15",2049482871,136678798,"72231203908"
"22","057","00558065","0500000US22057","22057","Lafourche","15",2767038601,1037509108,"72204199999"
"22","085","00559489","0500000US22085","22085","Sabine","15",2244636625,375317817,"72282003949"
"22","015","00558453","0500000US22015","22015","Bossier","15",2176404826,70298996,"72248453905"
"22","111","00559528","0500000US22111","22111","Union","15",2271261418,73624033,"99999953961"
"22","039","00558551","0500000US22039","22039","Evangeline","15",1715558149,44659723,"72034653991"
